,category,date&time,description,link,title
32,economics,"Wed, 29 Nov 2017 18:13:39 GMT","Uber's net loss increased to $1.46 billion in the third quarter from $1.06 billion in the previous quarter, the source said.",https://economictimes.indiatimes.com/news/international/business/ubers-third-quarter-net-loss-widens-to-1-46-billion-source/articleshow/61855412.cms,Uber's third-quarter net loss widens to $1.46 billion: Source
33,economics,"Thu, 30 Nov 2017 05:40:05 GMT","The traffic situation on Old Airport Road would be no better, what with the Bruhat Bengaluru Mahanagara Palike planning underpasses at HAL, Isro and Kundalahalli gate junctions.",https://economictimes.indiatimes.com/news/politics-and-nation/disruption-in-the-it-corridor-in-bengaluru-as-traffic-suffers-for-work-on-metro-underpasses/articleshow/61860020.cms,"Disruption in the IT corridor in Bengaluru as traffic suffers for work on Metro, underpasses"
34,economics,"Thu, 30 Nov 2017 05:36:57 GMT",The video clip shows two individuals visiting a Muslim home seeking votes. A woman wearing a burkha attends to them and blames them of “votebank politics” and having taken “voters for granted for 60 years”.,https://economictimes.indiatimes.com/news/politics-and-nation/gujarat-polls-triple-talaq-video-hits-social-media/articleshow/61859985.cms,Gujarat polls: ‘Triple talaq’ video hits social media
35,economics,"Thu, 30 Nov 2017 05:39:33 GMT","In both Varanasi and Gorakhpur, the Lok Sabha seat of Prime Minister Narendra Modi and the home turf of chief minister Aditya Nath Yogi respectively, the party is shown to be getting 45% of votes.",https://economictimes.indiatimes.com/news/politics-and-nation/up-election-exit-poll-predicts-another-saffron-sweep/articleshow/61860015.cms,UP election: Exit poll predicts another saffron sweep
36,economics,"Thu, 30 Nov 2017 05:33:59 GMT","Kolkata Eye at 135m height and 120m diameter, will precisely match the original in London. It will take 45 minutes for the Ferris Wheel to take a turn and it will be able to carry 600-700 people.",https://economictimes.indiatimes.com/industry/miscellaneous/at-135-metres-kolkata-to-stare-london-in-the-eye/articleshow/61859951.cms,"At 135 metres, Kolkata to stare London in the eye"
37,economics,"Thu, 30 Nov 2017 05:28:58 GMT","Most Metro stations saw serpentine queues at the ticket counters, but even 30-40 minutes of waiting time wasn’t a deterrent for many.",https://economictimes.indiatimes.com/news/politics-and-nation/hyderabad-turns-metroland-1-lakh-take-first-ride/articleshow/61859875.cms,"Hyderabad turns metroland, 1 lakh take first ride"
38,economics,"Thu, 30 Nov 2017 05:20:51 GMT",The appointment of two women to top posts will help the Siddaramaiah government score some brownie points in the run-up to the assembly polls.,https://economictimes.indiatimes.com/news/politics-and-nation/karnataka-first-state-where-women-head-police-bureaucracy/articleshow/61859785.cms,"Karnataka first state where women head police, bureaucracy"
39,economics,"Thu, 12 Aug 2010 20:55:54 GMT","A trading combination involving Nifty options is gaining prominence among savvy trading desks of institutional investors.

",https://economictimes.indiatimes.com/traders-bet-on-calendar-spread-as-nifty-moves-in-a-tight-range/articleshow/6302358.cms,Traders bet on calendar spread as Nifty moves in a tight range
40,economics,"Wed, 11 Aug 2010 20:52:06 GMT","As far as stock futures are concerned, we are very near to the highest-ever open interest with 195 crore shares in open interest. ",https://economictimes.indiatimes.com/nifty-may-find-support-at-5300-level/articleshow/6296017.cms,Nifty may find support at 5300 level
41,economics,"Thu, 12 Aug 2010 05:20:58 GMT","An analysis of 300 Asian small-cap schemes shows DSP BlackRock Micro Cap Fund leading the charge, delivering an 82% return over the past year.",https://economictimes.indiatimes.com/seven-out-of-top-10-asian-small-cap-funds-are-indian/articleshow/6295976.cms,Seven out of top 10 Asian small-cap funds are Indian
